product_name,Product Category
Acoustic Bloc Screens,Office Furniture
Bacon Burger,Food
Cabinet with Doors,Office Furniture
Cable Management Box,Office Furniture
Chair floor protection,Office Furniture
Cheese Burger,Food
Chicken Curry Sandwich,Food
Club Sandwich,Food
Coca-Cola,PoS
Conference Chair,Office Furniture
Corner Desk Left Sit,Office Furniture
Corner Desk Right Sit,Office Furniture
Customizable Desk,Office Furniture
Deposit,Services
Desk Combination,Office Furniture
Desk Organizer,Office Furniture
Desk Pad,Office Furniture
Desk Stand with Screen,Office Furniture
Developer (Plan services),Services
Discount,PoS
Down Payment (POS),PoS
Drawer,Office Furniture
Drawer Black,Office Furniture
Flipover,Office Furniture
Four Person Desk,Office Furniture
Funghi,Food
IT Technical Maintenance (Plan services),Services
Individual Workplace,Office Furniture
LED Lamp,Office Furniture
Large Cabinet,Office Furniture
Large Desk,Office Furniture
Large Meeting Table,Office Furniture
Letter Tray,Office Furniture
Lunch Maki 18pc,Food
Lunch Salmon 20pc,Food
Lunch Temaki mix 3pc,Food
Magnetic Board,Office Furniture
Margherita,Food
Minute Maid,PoS
Monitor Stand,Office Furniture
Mozzarella Sandwich,Food
Newspaper Rack,Office Furniture
Office Chair,Office Furniture
Office Chair Black,Office Furniture
Office Design Software,Software
Office Lamp,Office Furniture
"Pasta 4 formaggi ",Food
Pasta Bolognese,Food
Pedal Bin,Office Furniture
Salmon and Avocado,Food
Small Shelf,Office Furniture
Spicy Tuna Sandwich,Food
Storage Box,Office Furniture
Three-Seat Sofa,Office Furniture
Vegetarian,Food
Virtual Home Staging,Services
Virtual Interior Design,Services
Wall Shelf Unit,Office Furniture
Warranty,Services
Water,PoS
Whiteboard,Office Furniture
